DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy,total_latency,EDP
AMM,PCA,RIS,8,0,3.02E-11,0.000385374,0.001958311,0.036664844,0.000906953,7.47E-20,24.69093117,6.50E-06,24.73085316,0.88661977,21.92686334
AMM,PCA,RIS,40,0,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,1.49E-20,6.082691552,2.77E-07,6.093541913,0.391736291,2.387061508
AMM,PCA,RWS,1,0,3.62E-10,0.000113603,2.391600046,0.004560652,0.011551108,1.66E-19,186.3480764,0.000177707,188.7560795,19.97794475,3770.958526
AMM,PCA,RWS,2,0,2.11E-10,7.90E-05,1.196025207,0.004560652,0.011551108,8.30E-20,93.70459118,4.45E-05,94.91685165,10.06981507,955.7951436
AMM,PCA,RWS,4,0,1.38E-10,6.26E-05,0.598012689,0.004560652,0.011551108,4.15E-20,47.20924578,1.12E-05,47.823444,5.112570464,244.5007273
AMM,PCA,RWS,8,0,1.02E-10,5.53E-05,0.299231528,0.004560652,0.011551108,2.08E-20,24.13517588,2.83E-06,24.45057735,2.638511785,64.51313649
AMM,PCA,RWS,40,0,8.97E-11,5.64E-05,0.064031789,0.004560652,0.011551108,4.15E-21,5.816171177,1.32E-07,5.896371238,0.693855697,4.091230773
AMM,PCA,ROS,1,0,3.62E-11,0.001243511,1.653809512,0.034439516,0.00296889,2.40E-18,189.4953731,0.003217006,191.1910515,15.63202954,2988.704165
AMM,PCA,ROS,2,0,2.11E-11,0.000726171,0.827468803,0.034439516,0.00296889,1.20E-18,96.85188791,0.000812854,97.71830414,8.060034246,787.6128779
AMM,PCA,ROS,4,0,1.38E-11,0.000475002,0.413734488,0.034439516,0.00296889,6.01E-19,50.35654252,0.000205416,50.80836583,4.273173518,217.1129633
AMM,PCA,ROS,8,0,1.02E-11,0.000352082,0.207431291,0.034439516,0.00296889,3.01E-19,27.28247262,5.25E-05,27.52771694,2.388000424,65.73619973
AMM,PCA,ROS,40,0,8.97E-12,0.000308297,0.043745056,0.034439516,0.00296889,6.01E-20,8.96346791,8.46E-06,9.044938131,0.931195871,8.422609044
AMM,S_Tree,WS,1,0.139809966,9.35E-11,4.68E-05,0.051877556,0.004560652,0.011551108,0.026091218,4.900976491,4.868639683,10.00355352,1.726251458,17.26864885
AMM,S_Tree,OS,1,0.092460063,9.35E-11,0.000321574,0.035336652,0.043309054,0.00296889,0.026091218,9.094890266,4.868639683,14.1640174,1.760253169,24.93225651
AMM,S_Tree,IS,1,0.018589995,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,0.026091218,6.082691552,4.868639683,11.00686253,0.698799752,7.691592811
AMM,ST_Tree_Ac,WS,1,0.139809966,9.35E-11,4.68E-05,0.051877556,0.004560652,0.011551108,0.01124408,4.900976491,4.868639683,9.988706379,1.669321464,16.67436195
AMM,ST_Tree_Ac,OS,1,0.092460063,9.35E-11,0.000321574,0.035336652,0.043309054,0.00296889,0.01124408,9.094890266,4.868639683,14.14917026,1.703323174,24.1006096
AMM,ST_Tree_Ac,IS,1,0.018589995,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,0.01124408,6.082691552,4.868639683,10.99201539,0.641869757,7.055442255
AMM,STIFT,WS,1,0.139809966,9.35E-11,4.68E-05,0.051877556,0.004560652,0.011551108,0.009094982,4.900976491,4.868639683,9.986557281,1.669321464,16.67077442
AMM,STIFT,OS,1,0.092460063,9.35E-11,0.000321574,0.035336652,0.043309054,0.00296889,0.009094982,9.094890266,4.868639683,14.14702116,1.703323174,24.09694899
AMM,STIFT,IS,1,0.018589995,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,0.009094982,6.082691552,4.868639683,10.98986629,0.641869757,7.054062814
AMM,PCA,WS,1,0,9.35E-11,4.68E-05,0.051877556,0.004560652,0.011551108,0,4.900976491,0.476371369,5.445384019,0.586792617,3.195311142
AMM,PCA,OS,1,0,9.35E-12,0.000321574,0.035336652,0.043309054,0.00296889,0,9.094890266,0.476371369,9.653197804,0.94588483,9.130813362
AMM,PCA,IS,1,0,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,0,6.082691552,0.476371369,6.569913004,0.39173629,2.573673346
