DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,MobileNet_V2,S_Tree,IS,32,28783908,6093400,12972788,2252857.0,50102953.0,736152776,135336376
AMM,MobileNet_V2,ST_Tree_Ac,WS,32,28783908,7438744,7439277,2252857.0,45914786.0,736152776,135336376
AMM,MobileNet_V2,ST_Tree_Ac,OS,32,28783908,7438744,12972788,2252857.0,51448297.0,736152776,135336376
AMM,MobileNet_V2,ST_Tree_Ac,IS,32,28783908,6093400,12972788,2252857.0,50102953.0,736152776,135336376
AMM,MobileNet_V2,STIFT,WS,32,28783908,7438744,7439277,2252857.0,45914786.0,736152776,135336376
AMM,MobileNet_V2,STIFT,OS,32,28783908,7438744,12972788,2252857.0,51448297.0,736152776,135336376
AMM,MobileNet_V2,STIFT,IS,32,28783908,6093400,12972788,2252857.0,50102953.0,736152776,135336376
AMM,MobileNet_V2,PCA,WS,32,0,7438744,7439277,2252857.0,17130878.0,736152776,135336376
AMM,MobileNet_V2,PCA,OS,32,0,7438744,12972788,2252857.0,22664389.0,736152776,135336376
AMM,MobileNet_V2,PCA,IS,32,0,6093400,12972788,2252857.0,21319045.0,736152776,135336376
