,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
224,400,48,64,WS,2008,100400,0,0.490234375,0.0
225,256,48,1225,WS,20122,646656,0,0.2577551020408163,0.0
226,4096,1,1,WS,8193,0,0,0.0,0.0
227,192,192,676,WS,8663,33024,0,0.01272189349112426,0.0
228,576,64,49284,WS,1781394,111775104,1774656,0.4921830614398182,0.007814402240077916
229,2048,448,64,WS,10284,2873344,0,0.4982244318181818,0.0
230,144,32,784,WS,7249,0,0,0.0,0.0
231,2048,1,1,WS,4097,0,0,0.0,0.0
232,32,16,12544,WS,25904,0,0,0.0,0.0
233,640,128,49,WS,3212,184960,0,0.4914965986394558,0.0
234,1440,320,100,WS,11576,2292480,0,0.4975,0.0
235,232,232,196,WS,3326,15080,0,0.013818027210884353,0.0
236,27,27,49284,WS,86295,0,0,0.0,0.0
237,720,192,5041,WS,229820,36066960,0,0.49685578258282087,0.0
238,144,24,3136,OS,28564,0,0,0.0,0.0
239,256,128,3136,OS,51020,1843380,0,0.05018890881147541,0.0
240,1152,384,48,OS,219,0,0,0.0,0.0
241,768,192,289,OS,5875,0,0,0.0,0.0
242,128,128,784,OS,6547,0,0,0.0,0.0
243,832,832,25,OS,138,0,0,0.0,0.0
244,1344,192,187,OS,2491,0,0,0.0,0.0
245,832,128,196,OS,2783,0,0,0.0,0.0
246,1152,32,144,OS,1449,0,0,0.0,0.0
247,147,147,50176,OS,473683,629395200,0,0.06195423474326807,0.0
248,1152,256,100,OS,842,0,0,0.0,0.0
249,2304,256,2916,OS,425034,3200670,0,0.01861388306861558,0.0
250,352,128,784,OS,17747,0,0,0.0,0.0
251,160,128,3136,OS,32108,1843380,0,0.05418625553097345,0.0
252,2048,512,49,OS,293,0,0,0.0,0.0
253,1280,384,64,OS,356,0,0,0.0,0.0
254,928,128,196,OS,2783,0,0,0.0,0.0
255,800,96,484,OS,15581,0,0,0.0,0.0
256,32,32,784,OS,1649,0,0,0.0,0.0
257,768,160,289,OS,5856,0,0,0.0,0.0
258,1440,320,9,OS,26,0,0,0.0,0.0
259,864,864,1089,OS,62724,1501440,0,0.01872769332204762,0.0
260,1152,1152,12100,OS,894807,247291461,0,0.048658873618959174,0.0
261,832,384,25,OS,93,0,0,0.0,0.0
262,480,64,144,OS,1458,0,0,0.0,0.0
263,147,147,47524,OS,448768,564763332,0,0.061939695282362144,0.0
264,832,128,49,OS,257,0,0,0.0,0.0
265,528,528,144,OS,1548,0,0,0.0,0.0
266,384,64,196,OS,2770,0,0,0.0,0.0
267,1152,32,25,OS,77,0,0,0.0,0.0
268,2048,320,64,OS,352,0,0,0.0,0.0
269,2048,384,64,OS,356,0,0,0.0,0.0
270,64,384,196,OS,1013,0,0,0.0,0.0
271,800,128,196,OS,2783,0,0,0.0,0.0
272,736,128,49,OS,257,0,0,0.0,0.0
273,192,128,784,OS,9747,0,0,0.0,0.0
274,96,576,196,OS,1526,0,0,0.0,0.0
275,608,128,196,OS,2783,0,0,0.0,0.0
276,512,128,9,OS,21,0,0,0.0,0.0
277,320,128,196,OS,2783,0,0,0.0,0.0
278,16,16,12544,OS,13344,9833712,0,0.06225679002541296,0.0
279,128,512,784,OS,6988,460404,0,0.04189854452054795,0.0
280,832,32,25,OS,77,0,0,0.0,0.0
281,512,128,196,OS,2783,0,0,0.0,0.0
282,672,128,49,OS,257,0,0,0.0,0.0
283,192,16,676,OS,8491,0,0,0.0,0.0
284,416,128,784,OS,20947,0,0,0.0,0.0
285,96,128,3136,OS,19500,1843380,0,0.05722473714953271,0.0
286,288,128,784,OS,14547,0,0,0.0,0.0
287,1120,192,187,OS,2491,0,0,0.0,0.0
288,1152,1,1,OS,3,0,0,0.0,0.0
289,160,128,784,OS,8147,0,0,0.0,0.0
290,384,96,196,OS,2783,0,0,0.0,0.0
291,576,576,49284,OS,1818366,2125772922,0,0.06039632801658589,0.0
292,64,128,3136,OS,13196,1843380,0,0.05887545072115385,0.0
293,1024,1,1,OS,3,0,0,0.0,0.0
294,672,128,196,OS,2783,0,0,0.0,0.0
295,25088,1,1,OS,3,0,0,0.0,0.0
296,448,128,784,OS,22547,0,0,0.0,0.0
297,720,720,5041,OS,234332,27074880,0,0.043874088880015975,0.0
298,384,128,196,OS,2783,0,0,0.0,0.0
299,16,96,12544,OS,14912,29501136,0,0.06225679002541296,0.0
300,1152,32,676,OS,29787,0,0,0.0,0.0
301,2592,384,1089,OS,76851,675648,0,0.01582567472875512,0.0
302,256,64,3136,OS,50824,100114,0,0.004088640771370024,0.0
303,2304,2304,2916,OS,440547,28272585,0,0.01861388306861558,0.0
304,864,128,49,OS,257,0,0,0.0,0.0
305,1152,256,2916,OS,213066,3200670,0,0.02870954846176301,0.0
306,608,128,49,OS,257,0,0,0.0,0.0
307,27,24,49284,OS,86295,151840923,0,0.06241137414731245,0.0
308,1152,192,576,OS,21492,0,0,0.0,0.0
309,27,64,49284,OS,89376,303681846,0,0.06241137414731245,0.0
310,192,64,676,OS,8534,0,0,0.0,0.0
311,928,1024,49,OS,390,0,0,0.0,0.0
312,256,1024,196,OS,3252,0,0,0.0,0.0
313,27,32,49284,OS,86295,151840923,0,0.06241137414731245,0.0
314,528,128,144,OS,1467,0,0,0.0,0.0
315,2048,192,64,OS,340,0,0,0.0,0.0
316,192,64,196,OS,2714,0,0,0.0,0.0
317,192,96,676,OS,8577,0,0,0.0,0.0
318,512,128,144,OS,1467,0,0,0.0,0.0
319,32,192,784,OS,1845,0,0,0.0,0.0
320,256,64,676,OS,11350,0,0,0.0,0.0
321,576,576,2704,OS,100286,6395298,0,0.038117666967509026,0.0
322,1200,128,1,OS,5,0,0,0.0,0.0
323,288,288,21025,OS,388213,193525920,0,0.06007297982595029,0.0
324,1280,320,64,OS,352,0,0,0.0,0.0
325,64,64,196,OS,922,0,0,0.0,0.0
326,24,116,784,OS,1347,0,0,0.0,0.0
327,512,512,144,OS,1548,0,0,0.0,0.0
328,192,128,3136,OS,38412,1843380,0,0.05278488685344827,0.0
329,4608,512,144,OS,1548,0,0,0.0,0.0
330,544,128,49,OS,257,0,0,0.0,0.0
331,960,128,196,OS,2783,0,0,0.0,0.0
332,960,128,49,OS,257,0,0,0.0,0.0
333,256,128,196,OS,2783,0,0,0.0,0.0
334,147,64,47524,OS,442826,282381666,0,0.061939695282362144,0.0
335,1024,2048,196,OS,3747,119145,0,0.016497032486463975,0.0
336,992,128,49,OS,257,0,0,0.0,0.0
337,1728,320,225,OS,3720,0,0,0.0,0.0
338,512,2048,49,OS,531,0,0,0.0,0.0
339,116,116,784,OS,5947,0,0,0.0,0.0
340,128,128,3136,OS,25804,1843380,0,0.0556640625,0.0
341,528,160,144,OS,1476,0,0,0.0,0.0
342,576,128,12100,OS,438879,27476829,0,0.054739473388525375,0.0
343,256,32,676,OS,11307,0,0,0.0,0.0
344,512,128,49,OS,257,0,0,0.0,0.0
345,512,112,144,OS,1467,0,0,0.0,0.0
346,256,64,1225,OS,20122,0,0,0.0,0.0
347,2304,256,144,OS,1494,0,0,0.0,0.0
348,96,24,3136,OS,19108,0,0,0.0,0.0
349,512,1024,784,OS,27288,920808,0,0.02109375,0.0
350,576,192,2704,OS,98765,2284035,0,0.038117666967509026,0.0
351,576,96,1089,OS,40527,0,0,0.0,0.0
352,448,128,196,OS,2783,0,0,0.0,0.0
353,864,128,576,OS,21420,0,0,0.0,0.0
354,512,160,144,OS,1476,0,0,0.0,0.0
355,256,256,676,OS,11522,0,0,0.0,0.0
356,4032,384,36,OS,171,0,0,0.0,0.0
357,864,128,196,OS,2783,0,0,0.0,0.0
358,1008,224,100,OS,842,0,0,0.0,0.0
359,640,128,196,OS,2783,0,0,0.0,0.0
360,24,116,3136,OS,5316,1843380,0,0.06107777431421446,0.0
361,147,64,50176,OS,467411,314697600,0,0.06195423474326807,0.0
362,896,192,187,OS,2491,0,0,0.0,0.0
363,832,160,25,OS,83,0,0,0.0,0.0
364,1728,1728,225,OS,4650,134400,0,0.016592592592592593,0.0
365,480,480,144,OS,1539,0,0,0.0,0.0
366,800,128,49,OS,257,0,0,0.0,0.0
367,192,32,784,OS,9649,0,0,0.0,0.0
368,512,64,144,OS,1458,0,0,0.0,0.0
369,1152,128,676,OS,29873,0,0,0.0,0.0
370,27,32,88209,OS,154419,486378912,0,0.06245257095222373,0.0
371,896,128,196,OS,2783,0,0,0.0,0.0
372,1024,512,196,OS,2900,0,0,0.0,0.0
373,288,64,1225,OS,22618,0,0,0.0,0.0
374,352,128,196,OS,2783,0,0,0.0,0.0
