name,Model_Name,Dataflow,Reduction_Type,Total_Latency,VDP Latency,FPS,Total_Dynamic_Energy,Total_Static_Power,Total_Power,Total_Area,fps_per_W,Config,Reduction_Latency,Reduction_Energy,Adder Reduction Latency,Adder Reduction Energy,Output_Access_Latency,Output_Access_Energy,Input_Access_Latency,Input_Access_Energy,Weight_Access_Latency,Weight_Access_Energy,Reduction_Network_Latency
MAM,MobileNet_V2,IS,S_Tree,22.78115871,6.271248984,0.043895924,2.03472143,1350.874586,1350.963902,12510.68578,3.24923E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",323312049.8,533584.2672,0.06937459,1990.27374,1109.76,122.88,38.148,4.224,1109.76,122.88,0.06937459
MAM,GoogLeNet,WS,S_Tree,0.023069088,0.002072416,43.34805088,0.484894641,1350.874586,1371.893824,12510.68578,0.031597235,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",500964809.1,2663265.881,0.019497101,559.3484199,887.808,98.304,887.808,98.304,39063.552,4325.376,0.019497101
MAM,ResNet50,WS,S_Tree,0.067259995,0.005499369,14.86767874,1.668549828,1350.874586,1375.682049,12510.68578,0.010807496,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1366545711,7301800.431,0.058422006,1676.057259,1775.616,196.608,1775.616,196.608,78127.104,8650.752,0.058422006
MAM,ShuffleNet_V2,WS,S_Tree,0.145216277,0.006032851,6.886280403,1.945752346,1350.874586,1364.273582,12510.68578,0.00504758,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1465126695,7795838.465,0.066184002,1898.73961,887.808,98.304,887.808,98.304,39063.552,4325.376,0.066184002
MAM,MobileNet_V2,WS,S_Tree,0.223526123,0.006264984,4.473750037,2.059126245,1350.874586,1360.086602,12510.68578,0.003289313,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'S_Tree'}]",1500984925,7966628.057,0.06937459,1990.27374,1109.76,122.88,1109.76,122.88,48829.44,5406.72,0.06937459
MAM,GoogLeNet,OS,S_Tree,2.818272515,2.074488416,0.35482729,0.479018177,1350.874586,1351.044555,12510.68578,0.000262632,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",341624194.3,1657565.748,0.019497101,559.3484199,887.808,98.304,887.808,98.304,887.808,98.304,0.019497101
MAM,ResNet50,OS,S_Tree,7.719264181,5.504868369,0.129546026,1.65056139,1350.874586,1351.08841,12510.68578,9.58827E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",760657409.9,3477653.362,0.058422006,1676.057259,1775.616,196.608,1775.616,196.608,1775.616,196.608,0.058422006
MAM,ShuffleNet_V2,OS,S_Tree,15.30293455,6.038883851,0.065346944,1.925257217,1350.874586,1351.000396,12510.68578,4.83693E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",797399436.7,3581386.339,0.066184002,1898.73961,887.808,98.304,887.808,98.304,887.808,98.304,0.066184002
MAM,MobileNet_V2,OS,S_Tree,22.78115871,6.271248984,0.043895924,2.037604288,1350.874586,1350.964029,12510.68578,3.24923E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'S_Tree'}]",823300496.5,3689329.888,0.06937459,1990.27374,1109.76,122.88,1109.76,122.88,1109.76,122.88,0.06937459
MAM,GoogLeNet,IS,ST_Tree_Ac,2.818269338,2.074488416,0.35482769,0.478035475,1350.874586,1351.044206,12510.68579,0.000262632,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'ST_Tree_Ac'}]",108132914.6,183853.5294,0.011314213,336.0468476,887.808,98.304,38.148,4.224,887.808,98.304,0.011314213
