,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
210,128,128,3136,WS,26196,100352,0,0.0125,0.0
211,800,64,64,WS,4012,303200,0,0.4934895833333333,0.0
212,928,1024,49,WS,6632,3085600,0,0.4989495798319328,0.0
213,2048,1,1,WS,4097,0,0,0.0,0.0
214,2304,256,2916,WS,425583,120508416,0,0.49824721841182745,0.0
215,24,116,3136,WS,5512,14112,0,0.01171875,0.0
216,864,96,1089,WS,60756,7466688,0,0.4959825528007346,0.0
217,4608,512,676,WS,208091,105702912,0,0.49902105812739295,0.0
218,384,96,196,WS,5428,596736,0,0.4955357142857143,0.0
219,288,288,21025,WS,392158,120724992,0,0.4984351961950059,0.0
220,4096,1,1,WS,8193,0,0,0.0,0.0
221,1120,192,187,WS,14644,2917600,0,0.4975171886936593,0.0
222,576,96,1089,WS,40596,4977792,0,0.4959825528007346,0.0
223,896,128,49,WS,4500,434560,0,0.49489795918367346,0.0
224,1280,192,64,WS,6428,1140480,0,0.49720982142857145,0.0
225,1296,288,100,WS,10438,2581632,0,0.498,0.0
226,192,192,676,WS,8749,49536,0,0.013630600169061707,0.0
227,352,128,196,WS,4993,684992,0,0.49642857142857144,0.0
228,544,128,196,WS,7681,1058624,0,0.49642857142857144,0.0
229,528,32,144,WS,5298,298848,0,0.4913194444444444,0.0
230,512,128,784,WS,25845,3988480,0,0.4968112244897959,0.0
231,960,320,49,WS,4844,1030080,0,0.4976808905380334,0.0
232,232,232,784,WS,11992,79576,0,0.013671875,0.0
233,448,128,196,WS,6337,871808,0,0.49642857142857144,0.0
234,512,64,144,WS,5147,437248,0,0.49421296296296297,0.0
235,1024,2048,196,WS,19303,26875904,0,0.49965732561681386,0.0
236,1152,32,144,WS,11538,652032,0,0.4913194444444444,0.0
237,32,192,784,WS,1943,9408,0,0.013392857142857142,0.0
238,64,256,3136,OS,14372,5530140,0,0.05887545072115385,0.0
239,24,24,3136,OS,4924,0,0,0.0,0.0
240,2048,320,64,OS,364,0,0,0.0,0.0
241,144,24,3136,OS,28564,0,0,0.0,0.0
242,4608,4608,144,OS,4077,191763,0,0.015516493055555556,0.0
243,1152,32,676,OS,29830,0,0,0.0,0.0
244,768,128,196,OS,2809,0,0,0.0,0.0
245,864,864,1089,OS,63276,2102016,0,0.01872769332204762,0.0
246,64,64,3136,OS,13196,1843380,0,0.05887545072115385,0.0
247,512,128,49,OS,265,0,0,0.0,0.0
248,1280,384,64,OS,372,0,0,0.0,0.0
249,256,128,676,OS,11479,0,0,0.0,0.0
