,Model_Name,Datflow,Accelerator,Reduction Network,Output_Access_Latency,Output_Access_Energy,Input_Access_Latency,Input_Access_Energy,Weight_Access_Latency,Weight_Access_Energy,Avg_Miss_Ratio
69,ResNet50,OS,MAM,ST_Tree_Ac,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
70,ShuffleNet_V2,OS,MAM,ST_Tree_Ac,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
71,MobileNet_V2,OS,MAM,ST_Tree_Ac,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
72,GoogLeNet,IS,MAM,STIFT,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
73,ResNet50,IS,MAM,STIFT,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
74,ShuffleNet_V2,IS,MAM,STIFT,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
75,MobileNet_V2,IS,MAM,STIFT,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
76,GoogLeNet,WS,MAM,STIFT,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
77,ResNet50,WS,MAM,STIFT,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
78,ShuffleNet_V2,WS,MAM,STIFT,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
79,MobileNet_V2,WS,MAM,STIFT,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
80,GoogLeNet,OS,MAM,STIFT,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
81,ResNet50,OS,MAM,STIFT,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
82,ShuffleNet_V2,OS,MAM,STIFT,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
83,MobileNet_V2,OS,MAM,STIFT,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
84,GoogLeNet,IS,MAM,PCA,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
85,ResNet50,IS,MAM,PCA,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
86,ShuffleNet_V2,IS,MAM,PCA,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
87,MobileNet_V2,IS,MAM,PCA,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
88,GoogLeNet,WS,MAM,PCA,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
89,ResNet50,WS,MAM,PCA,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
90,ShuffleNet_V2,WS,MAM,PCA,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
91,MobileNet_V2,WS,MAM,PCA,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
92,GoogLeNet,OS,MAM,PCA,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
93,ResNet50,OS,MAM,PCA,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
94,ShuffleNet_V2,OS,MAM,PCA,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
95,MobileNet_V2,OS,MAM,PCA,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
