DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMW5,ShuffleNet_V2,S_Tree,OS,17,0.01436101741566176,7.761599999998585e-12,0.00013340250000005757,0.0007970576394346879,0.006265808435998844,0.0011527086699888703,0.024771203771226286,7.154572819502429e-05,0.00011382135599308783,0.04766656552426022
MAW5,ShuffleNet_V2,S_Tree,OS,21,0.01265217709314003,5.88959999999888e-12,0.00010122750000002668,0.0007704283575059328,0.005428347651113727,0.001152708669988879,0.022524744363222975,6.273167593501264e-05,9.746755700342276e-05,0.0427898328737996
AMW10,ShuffleNet_V2,S_Tree,OS,12,0.021530456681816464,7.893760000006164e-12,0.00027134800000005603,0.0007704283575057543,0.00883443086381246,0.0011527086699888638,0.03431477412620234,9.785258379005651e-05,0.0002192570143327114,0.06719125630534245
MAW10,ShuffleNet_V2,S_Tree,OS,15,0.01736866316300891,4.70864000000071e-12,0.0001618595000000849,0.000770428357505856,0.006941936439561193,0.0011527086699888896,0.029410894201832398,7.879567207501603e-05,0.0001777734973910661,0.05606305950607206
AMM,ShuffleNet_V2,S_Tree,WS,36,0.02701662981685688,1.3774399999998578e-11,2.080649999999898e-05,0.0023859544038390464,0.0009970138156961933,0.005047004493428626,0.014044509943654727,1.8561434715000532e-05,5.3881713999200416e-05,0.04958436213596407
MAW,ShuffleNet_V2,S_Tree,WS,43,0.02510237282395385,8.23680000000028e-12,1.6373500000000185e-05,0.0016693155807896644,0.0009970138156962008,0.005047004493428626,0.012461977319093934,1.5937131914999394e-05,4.752543000012029e-05,0.045357520103114196
AMW5,ShuffleNet_V2,S_Tree,WS,17,0.046562341110061814,7.761599999998585e-12,4.0507499999993635e-05,0.0010084953377069777,0.0009970138156962063,0.005047004493428629,0.024771203771226626,1.5191277434995783e-05,0.00011382135599303568,0.07855557866930987
MAW5,ShuffleNet_V2,S_Tree,WS,21,0.0425566637107702,5.88959999999888e-12,3.285149999999571e-05,0.000959554192731607,0.0009970138156961666,0.005047004493428629,0.02252474436322264,1.5136028954996031e-05,9.746755700342946e-05,0.07223043566769727
AMW10,ShuffleNet_V2,S_Tree,WS,12,0.07168208355838268,7.893760000006164e-12,5.7348499999989065e-05,0.0009595541927318426,0.0009970138156962052,0.005047004493428629,0.03431477412620205,1.5136028954987893e-05,0.00021925701433269792,0.11329217173762285
MAW10,ShuffleNet_V2,S_Tree,WS,15,0.05803670965423798,4.70864000000071e-12,4.5963499999992154e-05,0.0009595541927317253,0.0009970138156962123,0.005047004493428629,0.029410894201832325,1.5136028955007089e-05,0.00017777349739108683,0.0946900493889816
HEANA,ShuffleNet_V2,PCA,OS,73,0.0,9.4735999999999e-12,3.256549999999579e-05,0.0023442093140512888,0.0019097002751935121,0.0011527086699888694,0.0,4.3074630764996856e-05,1.1019457999999961e-05,0.005493277857472264
HEANA5,ShuffleNet_V2,PCA,OS,39,0.0,2.4284800000001637e-12,4.17394999999933e-05,0.0011014533872058454,0.002776545095311157,0.0011527086699888685,0.0,3.888623902500026e-05,1.2121403800000144e-05,0.0051234542977593445
HEANA10,ShuffleNet_V2,PCA,OS,28,0.0,1.4819200000002024e-12,5.0940999999990804e-05,0.0008869064771059078,0.003849976423268521,0.0011527086699888711,0.0,4.8004155495005445e-05,1.5978214100000134e-05,0.0060045149414402164
HEANA,ShuffleNet_V2,PCA,WS,73,0.0,9.4735999999999e-12,1.4998500000000477e-05,0.006950871332089646,0.0009970138156962026,0.005047004493428622,0.0,3.162484255499674e-05,1.1019457999999968e-05,0.013052532451243068
HEANA5,ShuffleNet_V2,PCA,WS,39,0.0,2.4284800000001637e-12,1.945349999999935e-05,0.002434895548814247,0.0009970138156962,0.005047004493428626,0.0,1.8616683194999803e-05,1.2121403799999997e-05,0.008529105447362552
HEANA10,ShuffleNet_V2,PCA,WS,28,0.0,1.4819200000002024e-12,2.4782999999997902e-05,0.0016693155807896542,0.0009970138156961815,0.005047004493428626,0.0,1.5937131914999205e-05,1.5978214100000002e-05,0.007770032237411379
HEANA,ShuffleNet_V2,PCA,IS,73,0.0,3.66079999999986e-12,3.256549999999579e-05,0.0004714084984860016,0.001137428557070404,0.0005948060324811773,0.0,2.658581716499937e-05,1.1019457999999977e-05,0.002273813866863378
HEANA5,ShuffleNet_V2,PCA,IS,39,0.0,1.6585599999999186e-12,4.17394999999933e-05,0.00047140849848598023,0.001630735931561113,0.0005948060324811777,0.0,3.5405584784999705e-05,1.2121403800000074e-05,0.002786216952771824
HEANA10,ShuffleNet_V2,PCA,IS,28,0.0,1.332320000000135e-12,5.0940999999990804e-05,0.0004714084984860141,0.002283604436694595,0.0005948060324811747,0.0,4.720305253500487e-05,1.597821410000012e-05,0.0034639412356290995
