DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMW10,MobileNet_V2,PCA,OS,12,0.0,8.192960000006676e-12,0.0002816330000000152,0.0009308942531353302,0.008227854321618822,0.0009087043804698181,0.0,4.919681650496102e-05,6.5332852999999985e-06,0.010404816065221907
MAW10,MobileNet_V2,PCA,OS,15,0.0,5.176800000001512e-12,0.00017795250000010037,0.0009308942531355707,0.0068266944514989835,0.0009087043804698155,0.0,4.169359736998478e-05,6.533285299999935e-06,0.008892472472951253
AMM,MobileNet_V2,PCA,WS,36,0.0,1.0686399999999527e-11,2.6168999999997526e-05,0.0012790834433342342,0.0006774001186376102,0.0017477399245498023,0.0,1.692610303499989e-05,4.505714000000003e-06,0.0037518243142430434
MAW,MobileNet_V2,PCA,WS,43,0.0,8.704000000000136e-12,2.191749999999868e-05,0.0012435758732944101,0.0006774001186375946,0.0017477399245498023,0.0,1.6859423834999468e-05,4.505714e-06,0.0037119985630208047
AMW5,MobileNet_V2,PCA,WS,17,0.0,7.960639999998926e-12,5.4147499999989933e-05,0.0011279543176122564,0.0006774001186375886,0.0017477399245498025,0.0,1.6489830554995995e-05,4.9562854e-06,0.0036286879847152735
MAW5,MobileNet_V2,PCA,WS,21,0.0,6.112319999998699e-12,4.387349999999272e-05,0.0011261995226006082,0.0006774001186375664,0.0017477399245498027,0.0,1.646125375500021e-05,4.956285399999999e-06,0.0036166306110552906
AMW10,MobileNet_V2,PCA,WS,12,0.0,8.192960000006676e-12,7.662050000000304e-05,0.0011093231350865161,0.000677400118637615,0.0017477399245498025,0.0,1.644220255498936e-05,6.533285300000003e-06,0.003634059174321886
MAW10,MobileNet_V2,PCA,WS,15,0.0,5.176800000001512e-12,6.137449999998839e-05,0.0011093231350865836,0.0006774001186376242,0.0017477399245498025,0.0,1.6442202555005744e-05,6.533285300000003e-06,0.003618813171305805
AMM,MobileNet_V2,S_Tree,IS,36,0.0021864149782659962,9.985599999999742e-12,3.673449999999466e-05,0.0005015949729422287,0.0009758684029971924,0.00024588968476320583,0.004577599716778128,2.267389260000009e-05,2.321040200004439e-05,0.00856998656033239
MAW,MobileNet_V2,S_Tree,IS,43,0.0019309396572111319,8.204800000000289e-12,2.991999999999651e-05,0.0005015949729422448,0.0009318223109299556,0.0002458896847632055,0.004125711104952413,2.1921362909999543e-05,2.0511941999922314e-05,0.00780831104391367
AMW5,MobileNet_V2,S_Tree,IS,17,0.004184467584842633,7.913599999998845e-12,0.00013682350000006086,0.0005015949729422853,0.001846463077976002,0.0002458896847632033,0.008265629544455371,3.6728842499997174e-05,4.8719448800952076e-05,0.015266316664194104
MAW5,MobileNet_V2,S_Tree,IS,21,0.003589773900737844,6.0969599999987115e-12,0.00010505550000003035,0.0005015949729423674,0.0016965287720077304,0.0002458896847632053,0.007625642801611848,3.410737915500929e-05,4.186354260024557e-05,0.013840456559915242
AMW10,MobileNet_V2,S_Tree,IS,12,0.006154699749490259,8.192960000006676e-12,0.0002816330000000152,0.0005015949729423541,0.0026700199069327815,0.0002458896847632074,0.012193081172890998,4.919681650496102e-05,9.450414149796333e-05,0.0221906194532155
MAW10,MobileNet_V2,S_Tree,IS,15,0.004962787134584432,5.176800000001512e-12,0.00017795250000010037,0.0005015949729421636,0.0021664438469034967,0.0002458896847632066,0.010195575058177003,4.169359736998478e-05,7.62739150020158e-05,0.018368210714919203
AMM,MobileNet_V2,S_Tree,OS,36,0.00667833717313034,1.0686399999999527e-11,3.673449999999466e-05,0.0011516979524978249,0.003016406437008274,0.0009087043804698226,0.004577599716778168,2.3157793080000308e-05,2.321040200004439e-05,0.016415848365650867
MAW,MobileNet_V2,S_Tree,OS,43,0.005992663676627936,8.704000000000136e-12,2.991999999999651e-05,0.0011195591639632531,0.002866157613616088,0.0009087043804698184,0.00412571110495241,2.2338584189999583e-05,2.0511941999922314e-05,0.015085566474523424
