DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_energy,edp
AMM,PCA,RWS,2,5.17E-08,3.79E-05,0.04966,0,1.537891286,0.011365705,0.035290417,6.00E-09,1.634245378,21.73857901,35.52617228
AMM,PCA,RWS,4,3.16E-08,2.32E-05,0.036496,0,0.768946087,0.011365705,0.035290417,3.00E-09,0.852121397,11.03340685,9.401802059
AMM,PCA,RWS,8,2.59E-08,1.90E-05,0.034616,0,0.385797371,0.011365705,0.035290417,1.51E-09,0.467088541,5.740784079,2.681454457
AMM,PCA,RWS,16,2.37E-08,1.74E-05,0.035284,0,0.195149281,0.011365705,0.035290417,7.70E-10,0.277106812,3.135950409,0.868993222
AMM,PCA,RWS,40,1.99E-08,1.46E-05,0.03084,0,0.080347209,0.011365705,0.035290417,3.12E-10,0.157857936,1.479376716,0.233531355
AMM,PCA,ROS,1,9.17E-08,6.72E-06,0.26898,0,1.272554492,0.020134081,0.009977494,5.04E-08,1.571652933,43.16260641,67.83663698
AMM,PCA,ROS,2,5.17E-08,3.79E-06,0.151652,0,0.637486121,0.020134081,0.009977494,2.52E-08,0.819253564,21.94168727,17.9758055
AMM,PCA,ROS,4,3.16E-08,2.32E-06,0.092616,0,0.318743504,0.020134081,0.009977494,1.26E-08,0.441473439,11.29819314,4.98785218
AMM,PCA,ROS,8,2.59E-08,1.90E-06,0.07608,0,0.161425378,0.020134081,0.009977494,6.32E-09,0.267618888,6.036551253,1.615495132
AMM,PCA,ROS,16,2.37E-08,1.74E-06,0.06954,0,0.083792255,0.020134081,0.009977494,3.21E-09,0.183445596,3.447229473,0.632379064
AMM,PCA,ROS,40,1.99E-08,1.46E-06,0.058336,0,0.034501519,0.020134081,0.009977494,1.31E-09,0.122950574,1.799646335,0.22126755
AMM,S_Tree,WS,40,2.37E-08,1.74E-05,0.023888,0.248939495,0.037069149,0.011365705,0.035290417,0.048016172,0.404586354,2.700573186,1.092615059
AMM,S_Tree,OS,40,2.37E-08,1.74E-05,0.069572,0.100987875,0.019537259,0.043136985,0.009977494,0.048016172,0.291245202,3.798150743,1.106193182
AMM,S_Tree,IS,40,2.37E-08,8.20E-06,0.069572,0.077341361,0.007220388,0.033196279,0.006351127,0.048016172,0.241705555,3.453313752,0.834685118
AMM,ST_Tree_Ac,WS,40,2.37E-08,1.74E-05,0.023888,0.248939495,0.037069149,0.011365705,0.035290417,0.013116795,0.369686977,2.692249877,0.995289719
AMM,ST_Tree_Ac,OS,40,2.37E-08,1.74E-05,0.069572,0.100987875,0.019537259,0.043136985,0.009977494,0.013116795,0.256345826,3.789827435,0.971506443
AMM,ST_Tree_Ac,IS,40,2.37E-08,8.20E-06,0.069572,0.077341361,0.007220388,0.033196279,0.006351127,0.013116795,0.206806178,3.444990444,0.712445308
AMM,STIFT,WS,40,2.37E-08,1.74E-05,0.023888,0.248939495,0.037069149,0.011365705,0.035290417,0.013116795,0.369686977,2.690610278,0.994683581
AMM,STIFT,OS,40,2.37E-08,1.74E-05,0.069572,0.100987875,0.019537259,0.043136985,0.009977494,0.013116795,0.256345826,3.788187835,0.971086138
AMM,STIFT,IS,40,2.37E-08,8.20E-06,0.069572,0.077341361,0.007220388,0.033196279,0.006351127,0.013116795,0.206806178,3.443350845,0.712106229
AMM,PCA,WS,40,2.37E-08,1.74E-05,0.023888,0,0.037069149,0.011365705,0.035290417,0,0.107630687,1.241404961,0.133613269
AMM,PCA,OS,40,2.37E-08,1.74E-06,0.069572,0,0.019537259,0.043136985,0.009977494,0,0.142225502,2.360528399,0.335727336
AMM,PCA,IS,40,2.37E-08,8.20E-06,0.069572,0,0.007220388,0.033196279,0.006351127,0,0.116348023,2.019134999,0.234922364
